requested_dev_sms,requested_zc_sms,pattern,size_mb,iters,dev_sms,zc_sms,dev_solo_gbps,zc_solo_gbps,dev_co_gbps,zc_co_gbps,aggregate_gbps,solo_sum_gbps,aggregate_ratio_pct,device_preserve_ratio_pct,zc_preserve_ratio_pct
12,4,uniform,1,1,12,4,49.127435,11.821068,32.604976,11.842428,44.447404,60.948503,72.926162,66.368163,100.180694
12,4,uniform,1,2,12,4,79.054280,18.492099,56.741128,11.989754,68.730883,97.546379,70.459696,71.774897,64.837173
12,4,uniform,1,4,12,4,122.040965,31.252267,108.056056,12.095977,120.152033,153.293232,78.380520,88.540807,38.704318
12,4,uniform,1,8,12,4,170.777845,47.619257,154.748526,18.265328,173.013855,218.397102,79.219849,90.613936,38.357021
12,4,uniform,1,16,12,4,203.923764,60.541341,191.345992,35.906202,227.252193,264.465104,85.928990,93.832121,59.308567
12,4,uniform,1,32,12,4,227.506187,70.840159,221.873883,49.769138,271.643022,298.346345,91.049556,97.524329,70.255543
12,4,uniform,2,1,12,4,31.148290,12.681115,29.897811,12.029368,41.927180,43.829405,95.659934,95.985403,94.860494
12,4,uniform,2,2,12,4,55.491955,19.031799,53.850454,12.201824,66.052278,74.523754,88.632517,97.041912,64.112827
12,4,uniform,2,4,12,4,94.025824,31.775030,92.728684,11.913470,104.642154,125.800854,83.180798,98.620443,37.493181
12,4,uniform,2,8,12,4,145.191913,48.839126,142.314871,25.889913,168.204784,194.031039,86.689627,98.018456,53.010598
12,4,uniform,2,16,12,4,196.509741,61.482031,195.192854,36.608200,231.801055,257.991772,89.848235,99.329862,59.542926
12,4,uniform,2,32,12,4,225.040456,71.658307,224.534467,50.544503,275.078970,296.698763,92.713218,99.775156,70.535441
12,4,uniform,4,1,12,4,33.360144,12.782524,31.394492,11.997438,43.391929,46.142667,94.038624,94.107784,93.858130
12,4,uniform,4,2,12,4,57.983629,19.206096,55.656900,11.942779,67.599679,77.189725,87.576006,95.987265,62.182229
12,4,uniform,4,4,12,4,100.188801,32.317573,96.589538,12.058141,108.647679,132.506374,81.994304,96.407519,37.311407
12,4,uniform,4,8,12,4,153.592499,49.372636,150.549314,25.771136,176.320450,202.965135,86.872285,98.018663,52.197205
12,4,uniform,4,16,12,4,203.448967,61.943288,202.525536,37.011352,239.536888,265.392254,90.257679,99.546112,59.750384
12,4,uniform,4,32,12,4,230.760556,71.772342,230.064386,51.156036,281.220422,302.532898,92.955320,99.698315,71.275417
12,4,uniform,8,1,12,4,34.429210,13.059532,32.371451,12.221166,44.592616,47.488743,93.901446,94.023216,93.580422
12,4,uniform,8,2,12,4,60.850508,19.433189,58.150845,12.197282,70.348127,80.283697,87.624424,95.563450,62.765212
12,4,uniform,8,4,12,4,103.297806,32.609029,100.179227,12.213194,112.392421,135.906835,82.698138,96.980983,37.453413
12,4,uniform,8,8,12,4,156.761251,49.687304,154.236371,26.106494,180.342865,206.448555,87.354869,98.389347,52.541578
12,4,uniform,8,16,12,4,207.638820,62.405021,205.976730,37.177220,243.153949,270.043841,90.042398,99.199528,59.574084
12,4,uniform,8,32,12,4,233.548854,72.118506,233.457860,51.456278,284.914138,305.667360,93.210521,99.961039,71.349617
12,4,uniform,16,1,12,4,35.067086,13.174058,33.048916,12.250864,45.299781,48.241144,93.902791,94.244833,92.992335
12,4,uniform,16,2,12,4,61.575898,19.627066,58.714147,12.246286,70.960433,81.202965,87.386506,95.352482,62.394887
12,4,uniform,16,4,12,4,105.247012,32.778244,101.502927,12.240568,113.743496,138.025256,82.407741,96.442574,37.343575
12,4,uniform,16,8,12,4,159.098128,49.833115,155.823610,26.062369,181.885979,208.931244,87.055423,97.941824,52.299297
12,4,uniform,16,16,12,4,209.469068,62.424992,207.906410,37.240597,245.147007,271.894060,90.162693,99.253991,59.656550
12,4,uniform,16,32,12,4,235.271579,72.328680,234.780998,51.642289,286.423288,307.600259,93.115425,99.791483,71.399464
12,4,uniform,32,1,12,4,35.281829,13.158848,33.289185,12.245571,45.534756,48.440678,94.001072,94.352209,93.059594
12,4,uniform,32,2,12,4,62.278075,19.638277,59.464997,12.263329,71.728326,81.916352,87.562891,95.483037,62.446055
12,4,uniform,32,4,12,4,105.767202,32.762369,102.320064,12.260462,114.580526,138.529571,82.711962,96.740825,37.422392
12,4,uniform,32,8,12,4,159.978025,49.809151,156.650006,18.902457,175.552463,209.787177,83.681217,97.919702,37.949767
12,4,uniform,32,16,12,4,210.367344,62.524332,208.843279,37.276603,246.119882,272.891676,90.189590,99.275522,59.619355
12,4,uniform,32,32,12,4,236.041155,72.402033,235.754268,51.650428,287.404695,308.443189,93.179135,99.878458,71.338367
12,4,uniform,64,1,12,4,35.478203,13.186318,30.243603,11.263323,41.506926,48.664520,85.291967,85.245590,85.416745
12,4,uniform,64,2,12,4,62.712937,19.620730,55.479480,11.275010,66.754491,82.333667,81.078000,88.465766,57.464785
12,4,uniform,64,4,12,4,106.315455,32.765439,97.858287,11.333690,109.191977,139.080894,78.509689,92.045213,34.590380
12,4,uniform,64,8,12,4,160.562891,49.875487,154.829924,17.348180,172.178104,210.438378,81.818776,96.429457,34.782978
12,4,uniform,64,16,12,4,210.892243,62.549508,206.065264,35.794416,241.859681,273.441751,88.450165,97.711164,57.225736
12,4,uniform,64,32,12,4,236.470353,72.431885,235.312834,50.475403,285.788238,308.902238,92.517374,99.510502,69.686718
12,4,strided,1,1,12,4,40.857856,8.901929,29.708068,8.773226,38.481295,49.759784,77.334127,72.710787,98.554218
12,4,strided,1,2,12,4,64.503934,13.808682,49.837262,8.634519,58.471781,78.312615,74.664575,77.262361,62.529641
12,4,strided,1,4,12,4,109.044929,24.600600,85.500324,8.768531,94.268855,133.645529,70.536482,78.408345,35.643564
12,4,strided,1,8,12,4,150.744108,34.168925,135.195463,13.181013,148.376476,184.913033,80.241221,89.685404,38.576026
12,4,strided,1,16,12,4,183.831693,40.055618,169.617598,19.332154,188.949752,223.887311,84.395025,92.267876,48.263277
12,4,strided,1,32,12,4,207.433429,40.581138,195.702881,30.173113,225.875994,248.014568,91.073680,94.344909,74.352555
12,4,strided,2,1,12,4,36.838673,8.999725,25.761006,8.514486,34.275492,45.838398,74.774629,69.929246,94.608287
12,4,strided,2,2,12,4,61.191410,13.861252,43.158379,8.452986,51.611365,75.052661,68.766868,70.530127,60.982846
12,4,strided,2,4,12,4,104.108019,24.850127,85.948854,8.640211,94.589065,128.958146,73.348655,82.557381,34.769284
12,4,strided,2,8,12,4,146.818260,34.558566,126.700826,13.177038,139.877865,181.376826,77.120031,86.297730,38.129586
12,4,strided,2,16,12,4,183.413679,40.073990,173.089468,19.353086,192.442554,223.487669,86.108802,94.371079,48.293385
12,4,strided,2,32,12,4,207.844599,40.396657,205.200791,30.964329,236.165120,248.241255,95.135323,98.727988,76.650721
12,4,strided,4,1,12,4,17.849926,9.359611,11.469373,6.444368,17.913741,27.209537,65.836260,64.254459,68.852948
12,4,strided,4,2,12,4,35.102303,13.814503,22.588884,6.563117,29.152000,48.916806,59.595061,64.351572,47.508886
12,4,strided,4,4,12,4,73.812194,25.223130,45.096165,6.707881,51.804046,99.035324,52.308655,61.095820,26.594165
12,4,strided,4,8,12,4,111.550640,35.023749,82.812826,15.277051,98.089876,146.574389,66.921566,74.237876,43.619119
12,4,strided,4,16,12,4,168.594897,40.401324,150.032339,20.907960,170.940298,208.996222,81.791095,88.989845,51.750679
12,4,strided,4,32,12,4,202.662551,40.496503,195.347405,28.313365,223.660770,243.159054,91.981263,96.390480,69.915579
12,4,strided,8,1,12,4,13.069299,9.336610,9.816289,5.847382,15.663671,22.405909,69.908664,75.109530,62.628540
12,4,strided,8,2,12,4,25.899718,13.981759,18.852499,5.822058,24.674557,39.881477,61.869719,72.790364,41.640386
12,4,strided,8,4,12,4,51.247543,25.032850,39.953363,9.724704,49.678067,76.280393,65.125605,77.961519,38.847771
12,4,strided,8,8,12,4,100.650416,35.010301,79.440586,14.765904,94.206490,135.660717,69.442719,78.927231,42.175883
12,4,strided,8,16,12,4,163.622688,40.677168,144.956072,19.578691,164.534764,204.299856,80.535918,88.591670,48.131895
12,4,strided,8,32,12,4,203.197635,40.504913,197.900540,27.515421,225.415961,243.702547,92.496350,97.393132,67.931071
12,4,strided,16,1,12,4,13.079080,9.368308,9.807292,5.802791,15.610083,22.447388,69.540755,74.984570,61.940654
12,4,strided,16,2,12,4,26.216366,14.077681,19.142633,5.882746,25.025379,40.294047,62.106889,73.017873,41.787751
12,4,strided,16,4,12,4,52.576015,25.533609,40.511369,9.816014,50.327383,78.109624,64.431730,77.052947,38.443502
12,4,strided,16,8,12,4,103.104821,35.232041,78.357197,14.718784,93.075981,138.336862,67.282125,75.997607,41.776699
12,4,strided,16,16,12,4,166.308649,40.735636,147.003504,19.661661,166.665164,207.044285,80.497351,88.391978,48.266487
12,4,strided,16,32,12,4,204.947614,40.461052,200.150501,27.567987,227.718488,245.408667,92.791543,97.659346,68.134628
12,4,strided,32,1,12,4,13.191129,9.396263,9.798676,5.791701,15.590378,22.587393,69.022477,74.282318,61.638347
12,4,strided,32,2,12,4,26.354076,14.090165,19.166601,5.863863,25.030464,40.444242,61.888821,72.727274,41.616709
